Disease,Symptom1,Symptom2,Symptom3,Symptom4
Cervical cancer,Pelvic pain,Vaginal discharge,Heavy menstrual flow,Unpredictable menstruation
Adrenal adenoma,Sharp abdominal pain,Sharp chest pain,Anxiety and nervousness,Shortness of breath
Esophagitis,Sharp chest pain,Sharp abdominal pain,Vomiting,Difficulty in swallowing
Gas gangrene,Sharp abdominal pain,Shoulder cramps or spasms,Excessive anger,Ankle pain
Yeast infection,Vaginal itching,Vaginal discharge,Skin rash,Diaper rash
Spina bifida,Back pain,Skin lesion,Headache,Involuntary urination
Drug poisoning due to medication,Depressive or psychotic symptoms,Depression,Drug abuse,Fainting
Alcoholic liver disease,Sharp abdominal pain,Abusing alcohol,Peripheral edema,Abdominal distention
Malignant hypertension,Sharp chest pain,Headache,Shortness of breath,Vomiting
Diverticulitis,Sharp abdominal pain,Lower abdominal pain,Diarrhea,Nausea
Moyamoya disease,Blindness,Headache,Depressive or psychotic symptoms,Loss of sensation
Heat exhaustion,Dizziness,Weakness,Headache,Fainting
Psychotic disorder,Depressive or psychotic symptoms,Depression,Delusions or hallucinations,Anxiety and nervousness
Frostbite,Loss of sensation,Foot or toe pain,Ache all over,Hand or finger swelling
Atrophy of the corpus cavernosum,Penis pain,Bumps on penis,Abnormal appearing skin,Skin growth
Smoking or tobacco addiction,Smoking problems,Cough,Sharp chest pain,Shortness of breath
Sprain or strain,Back pain,Neck pain,Ankle pain,Knee pain
Essential tremor,Abnormal involuntary movements,Problems with movement,Headache,Dizziness
Open wound of the ear,Ear pain,Bleeding from ear,Fluid in ear,Facial pain
Foreign body in the nose,Nasal congestion,Coughing up sputum,Nosebleed,Regurgitation
Idiopathic painful menstruation,Painful menstruation,Sharp abdominal pain,Pelvic pain,Heavy menstrual flow
Down syndrome,Fever,Nasal congestion,Cough,Seizures
Idiopathic infrequent menstruation,Unpredictable menstruation,Painful menstruation,Vaginal discharge,Sharp abdominal pain
Pneumothorax,Sharp chest pain,Shortness of breath,Shoulder pain,Difficulty breathing
De Quervain disease,Wrist pain,Hand or finger pain,Shoulder pain,Wrist swelling
Fracture of the vertebra,Back pain,Low back pain,Neck pain,Hip pain
Human immunodeficiency virus infection (HIV),Drug abuse,Fears and phobias,Mouth pain,Nightmares
Mumps,Jaw swelling,Ear pain,Neck swelling,Sore throat
Subarachnoid hemorrhage,Headache,Dizziness,Vomiting,Neck pain
Acute fatty liver of pregnancy (AFLP),Pain during pregnancy,Sharp abdominal pain,Itching of skin,Eye strain
Ectropion,Lacrimation,Pain in eye,Abnormal movement of eyelid,Symptoms of eye
Scar,Acne or pimples,Skin lesion,Abnormal appearing skin,Itching of skin
Lactose intolerance,Diarrhea,Burning abdominal pain,Headache,Sharp abdominal pain
Eustachian tube dysfunction (ear disorder),Ear pain,Diminished hearing,Plugged feeling in ear,Redness in ear
Appendicitis,Sharp abdominal pain,Lower abdominal pain,Vomiting,Nausea
Graves disease,Dizziness,Fatigue,Palpitations,Sweating
Dissociative disorder,Depressive or psychotic symptoms,Anxiety and nervousness,Depression,Low self-esteem
Open wound of the face,Facial pain,Leg stiffness or tightness,Feeling hot,Jaw swelling
Dislocation of the vertebra,Neck pain,Back pain,Low back pain,Bones are painful
Phimosis,Penis pain,Penis redness,Retention of urine,Painful urination
Hyperemesis gravidarum,Vomiting,Nausea,Problems during pregnancy,Sharp abdominal pain
Pregnancy,Uterine contractions,Pain during pregnancy,Problems during pregnancy,Spotting or bleeding during pregnancy
Thalassemia,Congestion in chest,Insomnia,Fatigue,Regurgitation
Placenta previa,Spotting or bleeding during pregnancy,Pain during pregnancy,Cramps and spasms,Uterine contractions
Epidural hemorrhage,Back pain,Depressive or psychotic symptoms,Side pain,Dizziness
Septic arthritis,Knee pain,Knee swelling,Fever,Leg pain
Athlete's foot,Skin rash,Foot or toe pain,Skin lesion,Itching of skin
Pleural effusion,Sharp chest pain,Shortness of breath,Cough,Difficulty breathing
Aphakia,Diminished vision,Symptoms of eye,Pain in eye,Eye redness
Vulvar disorder,Skin lesion,Vaginal discharge,Vulvar irritation,Vulvar sore
Vitamin B deficiency,Dizziness,Elbow pain,Allergic reaction,Difficulty speaking
Sialoadenitis,Peripheral edema,Facial pain,Swollen lymph nodes,Ear pain
Gynecomastia,Problems with shape or size of breast,Lump or mass of breast,Back pain,Pain or soreness of breast
Urinary tract infection,Painful urination,Suprapubic pain,Sharp abdominal pain,Frequent urination
Histoplasmosis,Lacrimation,Ache all over,Cough,Double vision
Erythema multiforme,Skin rash,Fever,Itching of skin,Coryza
Scoliosis,Back pain,Low back pain,Leg pain,Problems with movement
Bunion,Foot or toe pain,Foot or toe lump or mass,Knee pain,Problems with movement
Arrhythmia,Palpitations,Sharp chest pain,Dizziness,Irregular heartbeat
Paget disease,Abnormal breathing sounds,Back pain,Apnea,Low back pain
Trigeminal neuralgia,Facial pain,Headache,Dizziness,Loss of sensation
Ankylosing spondylitis,Back pain,Low back pain,Hip pain,Leg pain
Peripheral nerve disorder,Loss of sensation,Leg pain,Paresthesia,Foot or toe pain
Sebaceous cyst,Skin growth,Skin swelling,Skin lesion,Abnormal appearing skin
Poisoning due to antipsychotics,Anxiety and nervousness,Depressive or psychotic symptoms,Depression,Delusions or hallucinations
Behcet disease,Vomiting,Upper abdominal pain,Sharp abdominal pain,Diarrhea
Neurosis,Depressive or psychotic symptoms,Depression,Anxiety and nervousness,Hostile behavior
Prostate cancer,Retention of urine,Blood in urine,Symptoms of prostate,Frequent urination
Cerebral edema,Headache,Neck pain,Focal weakness,Diminished vision
Dislocation of the finger,Hand or finger pain,Hand or finger swelling,Hand or finger stiffness or tightness,Wrist pain
Birth trauma,Arm stiffness or tightness,Seizures,Lack of growth,Depressive or psychotic symptoms
Chronic pancreatitis,Sharp abdominal pain,Vomiting,Nausea,Ache all over
Hematoma,Sharp abdominal pain,Ache all over,Groin pain,Peripheral edema
Carcinoid syndrome,Involuntary urination,Knee lump or mass,Neck cramps or spasms,Excessive growth
Open wound of the head,Headache,Abusing alcohol,Open wound of the head 	 	 		Open wound of the head is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,radiographic imaging procedure
Seborrheic keratosis,Skin lesion,Abnormal appearing skin,Skin moles,Skin growth
Burn,Knee pain,Headache,Hand or finger pain,Wrist pain
Spontaneous abortion,Spotting or bleeding during pregnancy,Sharp abdominal pain,Pain during pregnancy,Cramps and spasms
Genital herpes,Skin rash,Painful urination,Vaginal pain,Vaginal discharge
Adjustment reaction,Depression,Depressive or psychotic symptoms,Anxiety and nervousness,Excessive anger
Gallstone,Sharp abdominal pain,Upper abdominal pain,Nausea,Vomiting
Multiple sclerosis,Fatigue,Loss of sensation,Headache,Dizziness
Zenker diverticulum,Difficulty in swallowing,Sharp chest pain,Regurgitation,Low back pain
Fracture of the pelvis,Hip pain,Groin pain,Back pain,Leg pain
Pneumoconiosis,Cough,Wheezing,Shortness of breath,Fever
Hyperlipidemia,Sharp chest pain,Weight gain,Lymphedema,Smoking problems
Ulcerative colitis,Diarrhea,Sharp abdominal pain,Blood in stool,Nausea
Male genitalia infection,Penis redness,Swelling of scrotum,Pain in testicles,Mass in scrotum
HPV,Warts,Frequent urination,Vaginal itching,Vaginal discharge
Angina,Sharp chest pain,Shortness of breath,Chest tightness,Dizziness
Injury to the spinal cord,Neck pain,Neck cramps or spasms,Back pain,Shoulder pain
Nasal polyp,Nasal congestion,Headache,Nosebleed,Painful sinuses
Lichen simplex,Skin rash,Itching of skin,Skin lesion,Skin irritation
Trichiasis,Foreign body sensation in eye,Eyelid lesion or rash,Diminished vision,Symptoms of eye
Acariasis,Skin rash,Itching of skin,Swelling of scrotum,Skin lesion
Colorectal cancer,Sharp abdominal pain,Rectal bleeding,Blood in stool,Pain of the anus
Skin pigmentation disorder,Abnormal appearing skin,Skin rash,Skin lesion,Skin moles
Factitious disorder,Disturbance of memory,Depressive or psychotic symptoms,Depression,Loss of sensation
Lymphogranuloma venereum,Sore throat,Nosebleed,Fever,Chills
Galactorrhea of unknown cause,Bleeding or discharge from nipple,Pain or soreness of breast,Pelvic pain,Weight gain
G6PD enzyme deficiency,Cough,Nasal congestion,Excessive growth,Wrist weakness
Nerve impingement near the shoulder,Shoulder pain,Knee pain,Neck pain,Arm pain
Toxoplasmosis,Eye redness,Diminished vision,Itchy scalp,Blindness
Fibroadenoma,Lump or mass of breast,Pain or soreness of breast,Bleeding or discharge from nipple,Arm lump or mass
Open wound of the hand,Hand or finger pain,Hand or finger swelling,Skin on arm or hand looks infected,Hand or finger stiffness or tightness
Missed abortion,Spotting or bleeding during pregnancy,Sharp abdominal pain,Pain during pregnancy,Lower abdominal pain
Diabetic ketoacidosis,Vomiting,Nausea,Weakness,Sharp abdominal pain
Granuloma inguinale,Nausea,Sharp chest pain,Groin pain,Vaginal pain
Hemorrhagic fever,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Obsessive compulsive disorder (OCD),Anxiety and nervousness,Depression,Depressive or psychotic symptoms,Obsessions and compulsions
Injury of the ankle,Ankle pain,Foot or toe pain,Ankle swelling,Leg pain
Hyponatremia,Weakness,Vomiting,Nausea,Shortness of breath
Stricture of the esophagus,Difficulty in swallowing,Vomiting,Regurgitation,Lump in throat
Fracture of the ankle,Ankle pain,Ankle swelling,Leg pain,Foot or toe pain
Soft tissue sarcoma,Skin lesion,Abnormal appearing skin,Skin growth,Skin moles
Bone disorder,Back pain,Knee pain,Leg pain,Shoulder pain
Epilepsy,Seizures,Headache,Abnormal involuntary movements,Disturbance of memory
Personality disorder,Depressive or psychotic symptoms,Depression,Anxiety and nervousness,Hostile behavior
Shingles (herpes zoster),Skin rash,Back pain,Skin lesion,Itching of skin
Tourette syndrome,Abnormal involuntary movements,Depressive or psychotic symptoms,Headache,Allergic reaction
Avascular necrosis,Hip pain,Knee pain,Shoulder pain,Drug abuse
Strep throat,Sore throat,Fever,Cough,Headache
Spinocerebellar ataxia,Problems with movement,Dizziness,Abnormal involuntary movements,Skin rash
Osteomyelitis,Skin lesion,Skin on leg or foot looks infected,Hand or finger pain,Hand or finger swelling
Sjogren syndrome,Symptoms of eye,Diminished vision,Ache all over,Joint pain
Adhesive capsulitis of the shoulder,Shoulder pain,Shoulder stiffness or tightness,Neck pain,Ache all over
Viral hepatitis,Sharp abdominal pain,Abusing alcohol,Drug abuse,Melena
Tonsillar hypertrophy,Swollen or red tonsils,Abnormal breathing sounds,Sore throat,Nasal congestion
Gastritis,Sharp abdominal pain,Vomiting,Nausea,Burning abdominal pain
Skin cancer,Skin lesion,Abnormal appearing skin,Skin moles,Skin growth
Rheumatic fever,Itchiness of eye,Knee lump or mass,Bedwetting,Excessive growth
Aphthous ulcer,Mouth ulcer,Fever,Sore throat,Mouth pain
Tonsillitis,Sore throat,Swollen or red tonsils,Abnormal breathing sounds,Nasal congestion
Intestinal cancer,Sharp abdominal pain,Diarrhea,Neck mass,Regurgitation
Rocky Mountain spotted fever,Headache,Shoulder cramps or spasms,Excessive anger,Ankle pain
Stomach cancer,Sharp abdominal pain,Nausea,Vomiting,Fatigue
Developmental disability,Depressive or psychotic symptoms,Seizures,Hostile behavior,Lack of growth
Acute stress reaction,Anxiety and nervousness,Sharp chest pain,Headache,Depressive or psychotic symptoms
Delirium,Disturbance of memory,Depressive or psychotic symptoms,Depression,Problems with movement
Callus,Skin growth,Foot or toe pain,Skin rash,Skin lesion
Guillain Barre syndrome,Leg weakness,Leg pain,Loss of sensation,Fever
Lumbago,Low back pain,Back pain,Leg pain,Neck pain
Deviated nasal septum,Nasal congestion,Abnormal breathing sounds,Headache,Allergic reaction
Hemangioma,Abnormal appearing skin,Skin lesion,Skin moles,Skin growth
Patau syndrome,Joint stiffness or tightness,Knee lump or mass,Eye strain,Excessive growth
Peripheral arterial disease,Skin lesion,Leg pain,Foot or toe pain,Poor circulation
Chronic back pain,Back pain,Low back pain,Leg pain,Neck pain
Heart failure,Shortness of breath,Sharp chest pain,Difficulty breathing,Peripheral edema
Conjunctivitis,Eye redness,Pain in eye,Cough,Nasal congestion
Herniated disk,Low back pain,Back pain,Leg pain,Neck pain
Rhabdomyolysis,Sharp chest pain,Depressive or psychotic symptoms,Arm pain,Fatigue
Breast infection (mastitis),Pain or soreness of breast,Lump or mass of breast,Abnormal appearing skin,Fever
Abdominal aortic aneurysm,Sharp abdominal pain,Back pain,Shortness of breath,Sharp chest pain
Pulmonary embolism,Shortness of breath,Sharp chest pain,Difficulty breathing,Cough
Conduct disorder,Depressive or psychotic symptoms,Hostile behavior,Excessive anger,Seizures
Air embolism,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain
Mastectomy,Lump or mass of breast,Pain or soreness of breast,Problems with shape or size of breast,Skin swelling
Epididymitis,Pain in testicles,Swelling of scrotum,Groin pain,Sharp abdominal pain
Premature rupture of amniotic membrane,Uterine contractions,Fever,Weight gain,Seizures
Molluscum contagiosum,Skin rash,Skin swelling,Skin lesion,Warts
Necrotizing fasciitis,Leg pain,Hip pain,Peripheral edema,Hand or finger pain
Benign vaginal discharge (leukorrhea),Vaginal discharge,Sharp abdominal pain,Vaginal itching,Problems during pregnancy
Bladder obstruction,Retention of urine,Symptoms of bladder,Impotence,Frequent urination
Melanoma,Skin lesion,Abnormal appearing skin,Skin moles,Irregular appearing scalp
Cervical disorder,Sharp abdominal pain,Vaginal bleeding after menopause,Pelvic pain,Vaginal discharge
Laryngitis,Sore throat,Hoarse voice,Cough,Nasal congestion
Dyshidrosis,Skin rash,Skin lesion,Skin dryness,scaliness
Poisoning due to opioids,Depressive or psychotic symptoms,Drug abuse,Arm pain,Slurring words
Diaper rash,Diaper rash,Skin rash,Diarrhea,Fever
Lichen planus,Abnormal appearing skin,Skin rash,Itching of skin,Skin moles
Gastroduodenal ulcer,Sharp abdominal pain,Vomiting,Nausea,Burning abdominal pain
Inguinal hernia,Groin pain,Groin mass,Sharp abdominal pain,Lower abdominal pain
Eczema,Skin rash,Itching of skin,Abnormal appearing skin,Skin dryness
Asperger syndrome,Depressive or psychotic symptoms,Anxiety and nervousness,Depression,Temper problems
Mucositis,Fever,Mouth ulcer,Sore throat,Decreased appetite
Paronychia,Hand or finger pain,Skin on arm or hand looks infected,Irregular appearing nails,Hand or finger swelling
Open wound of the jaw,Facial pain,Lip swelling,Symptoms of the face,Wrist swelling
White blood cell disease,Fever,Vomiting,Sharp abdominal pain,Nausea
Kaposi sarcoma,Leg pain,Foot or toe pain,Cough,Lip swelling
Spondylolisthesis,Low back pain,Back pain,Leg pain,Hip pain
Pseudotumor cerebri,Headache,Diminished vision,Dizziness,Pain in eye
Conjunctivitis due to virus,Eye redness,Pain in eye,Itchiness of eye,Fever
Open wound of the nose,Headache,Nosebleed,Facial pain,Hot flashes
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches
Fungal infection,skinrash,nodalskineruptions,dischromic patches,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,
Fungal infection,itching,nodalskineruptions,dischromic patches,
Fungal infection,itching,nodalskineruptions,dischromic patches,
Fungal infection,itching,nodalskineruptions,dischromic patches,
Fungal infection,itching,nodalskineruptions,dischromic patches,
Fungal infection,itching,nodalskineruptions,dischromic patches,
Fungal infection,itching,nodalskineruptions,dischromic patches,
Fungal infection,itching,nodalskineruptions,dischromic patches,
Fungal infection,itching,nodalskineruptions,dischromic patches,
Fungal infection,itching,nodalskineruptions,dischromic patches,
Fungal infection,itching,nodalskineruptions,dischromic patches,
Fungal infection,itching,nodalskineruptions,dischromic patches,
Fungal infection,itching,nodalskineruptions,dischromic patches,
Fungal infection,itching,skinrash,dischromic patches,
Fungal infection,itching,skinrash,dischromic patches,
Fungal infection,itching,skinrash,dischromic patches,
Fungal infection,itching,skinrash,dischromic patches,
Fungal infection,itching,skinrash,dischromic patches,
Fungal infection,itching,skinrash,dischromic patches,
Fungal infection,itching,skinrash,dischromic patches,
Fungal infection,itching,skinrash,dischromic patches,
Fungal infection,itching,skinrash,dischromic patches,
Fungal infection,itching,skinrash,dischromic patches,
Fungal infection,itching,skinrash,dischromic patches,
Fungal infection,itching,skinrash,dischromic patches,
Fungal infection,itching,skinrash,nodalskineruptions,
Fungal infection,itching,skinrash,nodalskineruptions,
Fungal infection,itching,skinrash,nodalskineruptions,
Fungal infection,itching,skinrash,nodalskineruptions,
Fungal infection,itching,skinrash,nodalskineruptions,
Fungal infection,itching,skinrash,nodalskineruptions,
Fungal infection,itching,skinrash,nodalskineruptions,
Fungal infection,itching,skinrash,nodalskineruptions,
Fungal infection,itching,skinrash,nodalskineruptions,
Fungal infection,itching,skinrash,nodalskineruptions,
Fungal infection,itching,skinrash,nodalskineruptions,
Fungal infection,itching,skinrash,nodalskineruptions,
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,continuoussneezing,shivering,chills,wateringfromeyes
Allergy,shivering,chills,wateringfromeyes,
Allergy,shivering,chills,wateringfromeyes,
Allergy,shivering,chills,wateringfromeyes,
Allergy,shivering,chills,wateringfromeyes,
Allergy,shivering,chills,wateringfromeyes,
Allergy,shivering,chills,wateringfromeyes,
Allergy,shivering,chills,wateringfromeyes,
Allergy,shivering,chills,wateringfromeyes,
Allergy,shivering,chills,wateringfromeyes,
Allergy,shivering,chills,wateringfromeyes,
Allergy,shivering,chills,wateringfromeyes,
Allergy,shivering,chills,wateringfromeyes,
Allergy,continuoussneezing,chills,wateringfromeyes,
Allergy,continuoussneezing,chills,wateringfromeyes,
Allergy,continuoussneezing,chills,wateringfromeyes,
Allergy,continuoussneezing,chills,wateringfromeyes,
Allergy,continuoussneezing,chills,wateringfromeyes,
Allergy,continuoussneezing,chills,wateringfromeyes,
Allergy,continuoussneezing,chills,wateringfromeyes,
Allergy,continuoussneezing,chills,wateringfromeyes,
Allergy,continuoussneezing,chills,wateringfromeyes,
Allergy,continuoussneezing,chills,wateringfromeyes,
Allergy,continuoussneezing,chills,wateringfromeyes,
Allergy,continuoussneezing,chills,wateringfromeyes,
Allergy,continuoussneezing,shivering,wateringfromeyes,
Allergy,continuoussneezing,shivering,wateringfromeyes,
Allergy,continuoussneezing,shivering,wateringfromeyes,
Allergy,continuoussneezing,shivering,wateringfromeyes,
Allergy,continuoussneezing,shivering,wateringfromeyes,
Allergy,continuoussneezing,shivering,wateringfromeyes,
Allergy,continuoussneezing,shivering,wateringfromeyes,
Allergy,continuoussneezing,shivering,wateringfromeyes,
Allergy,continuoussneezing,shivering,wateringfromeyes,
Allergy,continuoussneezing,shivering,wateringfromeyes,
Allergy,continuoussneezing,shivering,wateringfromeyes,
Allergy,continuoussneezing,shivering,wateringfromeyes,
Allergy,continuoussneezing,shivering,chills,
Allergy,continuoussneezing,shivering,chills,
Allergy,continuoussneezing,shivering,chills,
Allergy,continuoussneezing,shivering,chills,
