Disease,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Symptom6
Gastroenteritis,vomiting,sunkeneyes,dehydration,diarrhoea,,
Gastroenteritis,vomiting,sunkeneyes,dehydration,diarrhoea,,
Gastroenteritis,sunkeneyes,dehydration,diarrhoea,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,
Gastroenteritis,vomiting,sunkeneyes,diarrhoea,,,
Gastroenteritis,vomiting,sunkeneyes,dehydration,,,
Gastroenteritis,vomiting,sunkeneyes,dehydration,diarrhoea,,
Gastroenteritis,sunkeneyes,dehydration,diarrhoea,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,
Gastroenteritis,vomiting,sunkeneyes,diarrhoea,,,
Bronchial Asthma,fatigue,cough,highfever,breathlessness,familyhistory,mucoidsputum
Bronchial Asthma,cough,highfever,breathlessness,familyhistory,mucoidsputum,
Bronchial Asthma,fatigue,highfever,breathlessness,familyhistory,mucoidsputum,
Bronchial Asthma,fatigue,cough,breathlessness,familyhistory,mucoidsputum,
Bronchial Asthma,fatigue,cough,highfever,familyhistory,mucoidsputum,
Bronchial Asthma,fatigue,cough,highfever,breathlessness,mucoidsputum,
Bronchial Asthma,fatigue,cough,highfever,breathlessness,familyhistory,
Bronchial Asthma,fatigue,cough,highfever,breathlessness,familyhistory,mucoidsputum
Bronchial Asthma,cough,highfever,breathlessness,familyhistory,mucoidsputum,
Bronchial Asthma,fatigue,highfever,breathlessness,familyhistory,mucoidsputum,
Hypertension,headache,chestpain,dizziness,lossofbalance,lackofconcentration,
Hypertension,chestpain,dizziness,lossofbalance,lackofconcentration,,
Hypertension,headache,dizziness,lossofbalance,lackofconcentration,,
Hypertension,headache,chestpain,lossofbalance,lackofconcentration,,
Hypertension,headache,chestpain,dizziness,lackofconcentration,,
Hypertension,headache,chestpain,dizziness,lossofbalance,,
Hypertension,headache,chestpain,dizziness,lossofbalance,lackofconcentration,
Hypertension,chestpain,dizziness,lossofbalance,lackofconcentration,,
Hypertension,headache,dizziness,lossofbalance,lackofconcentration,,
Hypertension,headache,chestpain,lossofbalance,lackofconcentration,,
Migraine,acidity,indigestion,headache,blurredanddistortedvision,excessivehunger,stiffneck
Migraine,indigestion,headache,blurredanddistortedvision,excessivehunger,stiffneck,depression
Migraine,acidity,headache,blurredanddistortedvision,excessivehunger,stiffneck,depression
Migraine,acidity,indigestion,blurredanddistortedvision,excessivehunger,stiffneck,depression
Migraine,acidity,indigestion,headache,excessivehunger,stiffneck,depression
Migraine,acidity,indigestion,headache,blurredanddistortedvision,stiffneck,depression
Migraine,acidity,indigestion,headache,blurredanddistortedvision,excessivehunger,depression
Migraine,acidity,indigestion,headache,blurredanddistortedvision,excessivehunger,stiffneck
Migraine,acidity,indigestion,headache,blurredanddistortedvision,excessivehunger,stiffneck
Migraine,acidity,indigestion,headache,blurredanddistortedvision,excessivehunger,stiffneck
Cervical spondylosis,backpain,weaknessinlimbs,neckpain,dizziness,lossofbalance,
Cervical spondylosis,backpain,weaknessinlimbs,neckpain,dizziness,lossofbalance,
Cervical spondylosis,weaknessinlimbs,neckpain,dizziness,lossofbalance,,
Cervical spondylosis,backpain,neckpain,dizziness,lossofbalance,,
Cervical spondylosis,backpain,weaknessinlimbs,dizziness,lossofbalance,,
Cervical spondylosis,backpain,weaknessinlimbs,neckpain,lossofbalance,,
Cervical spondylosis,backpain,weaknessinlimbs,neckpain,dizziness,,
Cervical spondylosis,backpain,weaknessinlimbs,neckpain,dizziness,lossofbalance,
Cervical spondylosis,weaknessinlimbs,neckpain,dizziness,lossofbalance,,
Cervical spondylosis,backpain,neckpain,dizziness,lossofbalance,,
Paralysis (brain hemorrhage),vomiting,headache,weaknessofonebodyside,alteredsensorium,,
Paralysis (brain hemorrhage),vomiting,headache,weaknessofonebodyside,alteredsensorium,,
Paralysis (brain hemorrhage),headache,weaknessofonebodyside,alteredsensorium,,,
Paralysis (brain hemorrhage),vomiting,weaknessofonebodyside,alteredsensorium,,,
Paralysis (brain hemorrhage),vomiting,headache,alteredsensorium,,,
Paralysis (brain hemorrhage),vomiting,headache,weaknessofonebodyside,,,
Paralysis (brain hemorrhage),vomiting,headache,weaknessofonebodyside,alteredsensorium,,
Paralysis (brain hemorrhage),headache,weaknessofonebodyside,alteredsensorium,,,
Paralysis (brain hemorrhage),vomiting,weaknessofonebodyside,alteredsensorium,,,
Paralysis (brain hemorrhage),vomiting,headache,alteredsensorium,,,
Jaundice,itching,vomiting,fatigue,weightloss,highfever,yellowishskin
Jaundice,itching,vomiting,fatigue,weightloss,highfever,yellowishskin
Jaundice,vomiting,fatigue,weightloss,highfever,yellowishskin,darkurine
Jaundice,itching,fatigue,weightloss,highfever,yellowishskin,darkurine
Jaundice,itching,vomiting,weightloss,highfever,yellowishskin,darkurine
Jaundice,itching,vomiting,fatigue,highfever,yellowishskin,darkurine
Jaundice,itching,vomiting,fatigue,weightloss,yellowishskin,darkurine
Jaundice,itching,vomiting,fatigue,weightloss,highfever,darkurine
Jaundice,itching,vomiting,fatigue,weightloss,highfever,yellowishskin
Jaundice,itching,vomiting,fatigue,weightloss,highfever,yellowishskin
Malaria,chills,vomiting,highfever,sweating,headache,nausea
Malaria,chills,vomiting,highfever,sweating,headache,nausea
Malaria,chills,vomiting,highfever,sweating,headache,nausea
Malaria,vomiting,highfever,sweating,headache,nausea,diarrhoea
Malaria,chills,highfever,sweating,headache,nausea,diarrhoea
Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea
Malaria,chills,vomiting,highfever,headache,nausea,diarrhoea
Malaria,chills,vomiting,highfever,sweating,nausea,diarrhoea
Malaria,chills,vomiting,highfever,sweating,headache,diarrhoea
Malaria,chills,vomiting,highfever,sweating,headache,nausea
Chicken pox,itching,skinrash,fatigue,lethargy,highfever,headache
Chicken pox,skinrash,fatigue,lethargy,highfever,headache,lossofappetite
Chicken pox,itching,fatigue,lethargy,highfever,headache,lossofappetite
Chicken pox,itching,skinrash,lethargy,highfever,headache,lossofappetite
Chicken pox,itching,skinrash,fatigue,highfever,headache,lossofappetite
Chicken pox,itching,skinrash,fatigue,lethargy,headache,lossofappetite
Chicken pox,itching,skinrash,fatigue,lethargy,highfever,lossofappetite
Chicken pox,itching,skinrash,fatigue,lethargy,highfever,headache
Chicken pox,itching,skinrash,fatigue,lethargy,highfever,headache
Chicken pox,itching,skinrash,fatigue,lethargy,highfever,headache
Dengue,skinrash,chills,jointpain,vomiting,fatigue,highfever
Dengue,skinrash,chills,jointpain,vomiting,fatigue,highfever
Dengue,skinrash,chills,jointpain,vomiting,fatigue,highfever
Dengue,skinrash,chills,jointpain,vomiting,fatigue,highfever
Dengue,chills,jointpain,vomiting,fatigue,highfever,headache
Dengue,skinrash,jointpain,vomiting,fatigue,highfever,headache
Dengue,skinrash,chills,vomiting,fatigue,highfever,headache
Dengue,skinrash,chills,jointpain,fatigue,highfever,headache
Dengue,skinrash,chills,jointpain,vomiting,highfever,headache
Dengue,skinrash,chills,jointpain,vomiting,fatigue,headache
Typhoid,chills,vomiting,fatigue,highfever,nausea,constipation
Typhoid,chills,vomiting,fatigue,highfever,headache,constipation
Typhoid,chills,vomiting,fatigue,highfever,headache,nausea
Typhoid,chills,vomiting,fatigue,highfever,headache,nausea
Typhoid,chills,vomiting,fatigue,highfever,headache,nausea
Typhoid,chills,vomiting,fatigue,highfever,headache,nausea
Typhoid,chills,vomiting,fatigue,highfever,headache,nausea
Typhoid,chills,vomiting,fatigue,highfever,headache,nausea
Typhoid,chills,vomiting,fatigue,highfever,headache,nausea
Typhoid,chills,fatigue,highfever,headache,nausea,constipation
hepatitis A,jointpain,vomiting,yellowishskin,darkurine,nausea,lossofappetite
hepatitis A,jointpain,vomiting,yellowishskin,darkurine,nausea,lossofappetite
hepatitis A,vomiting,yellowishskin,darkurine,nausea,lossofappetite,abdominalpain
hepatitis A,jointpain,yellowishskin,darkurine,nausea,lossofappetite,abdominalpain
hepatitis A,jointpain,vomiting,darkurine,nausea,lossofappetite,abdominalpain
hepatitis A,jointpain,vomiting,yellowishskin,nausea,lossofappetite,abdominalpain
hepatitis A,jointpain,vomiting,yellowishskin,darkurine,lossofappetite,abdominalpain
hepatitis A,jointpain,vomiting,yellowishskin,darkurine,nausea,abdominalpain
hepatitis A,jointpain,vomiting,yellowishskin,darkurine,nausea,lossofappetite
hepatitis A,jointpain,vomiting,yellowishskin,darkurine,nausea,lossofappetite
Hepatitis B,itching,fatigue,lethargy,yellowishskin,darkurine,lossofappetite
Hepatitis B,itching,fatigue,lethargy,yellowishskin,darkurine,lossofappetite
Hepatitis B,fatigue,lethargy,yellowishskin,darkurine,lossofappetite,abdominalpain
Hepatitis B,itching,lethargy,yellowishskin,darkurine,lossofappetite,abdominalpain
Hepatitis B,itching,fatigue,yellowishskin,darkurine,lossofappetite,abdominalpain
Hepatitis B,itching,fatigue,lethargy,darkurine,lossofappetite,abdominalpain
Hepatitis B,itching,fatigue,lethargy,yellowishskin,lossofappetite,abdominalpain
Hepatitis B,itching,fatigue,lethargy,yellowishskin,darkurine,abdominalpain
Hepatitis B,itching,fatigue,lethargy,yellowishskin,darkurine,lossofappetite
Hepatitis B,itching,fatigue,lethargy,yellowishskin,darkurine,lossofappetite
Hepatitis C,fatigue,yellowishskin,nausea,lossofappetite,familyhistory,
Hepatitis C,fatigue,yellowishskin,nausea,lossofappetite,yellowingofeyes,familyhistory
Hepatitis C,yellowishskin,nausea,lossofappetite,yellowingofeyes,familyhistory,
Hepatitis C,fatigue,nausea,lossofappetite,yellowingofeyes,familyhistory,
Hepatitis C,fatigue,yellowishskin,lossofappetite,yellowingofeyes,familyhistory,
Hepatitis C,fatigue,yellowishskin,nausea,yellowingofeyes,familyhistory,
Hepatitis C,fatigue,yellowishskin,nausea,lossofappetite,familyhistory,
Hepatitis C,fatigue,yellowishskin,nausea,lossofappetite,yellowingofeyes,
Hepatitis C,fatigue,yellowishskin,nausea,lossofappetite,yellowingofeyes,familyhistory
Hepatitis C,fatigue,yellowishskin,nausea,lossofappetite,yellowingofeyes,familyhistory
Hepatitis D,jointpain,vomiting,fatigue,yellowishskin,darkurine,nausea
Hepatitis D,vomiting,fatigue,yellowishskin,darkurine,nausea,lossofappetite
Hepatitis D,jointpain,fatigue,yellowishskin,darkurine,nausea,lossofappetite
Hepatitis D,jointpain,vomiting,yellowishskin,darkurine,nausea,lossofappetite
Hepatitis D,jointpain,vomiting,fatigue,darkurine,nausea,lossofappetite
Hepatitis D,jointpain,vomiting,fatigue,yellowishskin,nausea,lossofappetite
Hepatitis D,jointpain,vomiting,fatigue,yellowishskin,darkurine,lossofappetite
Hepatitis D,jointpain,vomiting,fatigue,yellowishskin,darkurine,nausea
Hepatitis D,jointpain,vomiting,fatigue,yellowishskin,darkurine,nausea
Hepatitis D,jointpain,vomiting,fatigue,yellowishskin,darkurine,nausea
Hepatitis E,jointpain,vomiting,fatigue,highfever,yellowishskin,darkurine
Hepatitis E,jointpain,vomiting,fatigue,highfever,yellowishskin,darkurine
Hepatitis E,jointpain,vomiting,fatigue,highfever,yellowishskin,darkurine
Hepatitis E,vomiting,fatigue,highfever,yellowishskin,darkurine,nausea
Hepatitis E,jointpain,fatigue,highfever,yellowishskin,darkurine,nausea
Hepatitis E,jointpain,vomiting,highfever,yellowishskin,darkurine,nausea
Hepatitis E,jointpain,vomiting,fatigue,yellowishskin,darkurine,nausea
Hepatitis E,jointpain,vomiting,fatigue,highfever,darkurine,nausea
Hepatitis E,jointpain,vomiting,fatigue,highfever,yellowishskin,nausea
Hepatitis E,jointpain,vomiting,fatigue,highfever,yellowishskin,darkurine
Alcoholic hepatitis,vomiting,yellowishskin,abdominalpain,swellingofstomach,distentionofabdomen,historyofalcoholconsumption
Alcoholic hepatitis,vomiting,yellowishskin,abdominalpain,swellingofstomach,distentionofabdomen,historyofalcoholconsumption
Alcoholic hepatitis,yellowishskin,abdominalpain,swellingofstomach,distentionofabdomen,historyofalcoholconsumption,fluidoverload
Alcoholic hepatitis,vomiting,abdominalpain,swellingofstomach,distentionofabdomen,historyofalcoholconsumption,fluidoverload
Alcoholic hepatitis,vomiting,yellowishskin,swellingofstomach,distentionofabdomen,historyofalcoholconsumption,fluidoverload
Alcoholic hepatitis,vomiting,yellowishskin,abdominalpain,distentionofabdomen,historyofalcoholconsumption,fluidoverload
Alcoholic hepatitis,vomiting,yellowishskin,abdominalpain,swellingofstomach,historyofalcoholconsumption,fluidoverload
Alcoholic hepatitis,vomiting,yellowishskin,abdominalpain,swellingofstomach,distentionofabdomen,fluidoverload
Alcoholic hepatitis,vomiting,yellowishskin,abdominalpain,swellingofstomach,distentionofabdomen,historyofalcoholconsumption
Alcoholic hepatitis,vomiting,yellowishskin,abdominalpain,swellingofstomach,distentionofabdomen,historyofalcoholconsumption
Tuberculosis,chills,vomiting,fatigue,weightloss,cough,highfever
Tuberculosis,chills,vomiting,fatigue,weightloss,cough,highfever
Tuberculosis,vomiting,fatigue,weightloss,cough,highfever,breathlessness
Tuberculosis,chills,fatigue,weightloss,cough,highfever,breathlessness
Tuberculosis,chills,vomiting,weightloss,cough,highfever,breathlessness
Tuberculosis,chills,vomiting,fatigue,cough,highfever,breathlessness
Tuberculosis,chills,vomiting,fatigue,weightloss,highfever,breathlessness
Tuberculosis,chills,vomiting,fatigue,weightloss,cough,breathlessness
Tuberculosis,chills,vomiting,fatigue,weightloss,cough,highfever
Tuberculosis,chills,vomiting,fatigue,weightloss,cough,highfever
Common Cold,continuoussneezing,chills,fatigue,cough,highfever,headache
Common Cold,continuoussneezing,chills,fatigue,cough,highfever,headache
Common Cold,chills,fatigue,cough,highfever,headache,swelledlymphnodes
Common Cold,continuoussneezing,fatigue,cough,highfever,headache,swelledlymphnodes
Common Cold,continuoussneezing,chills,cough,highfever,headache,swelledlymphnodes
Common Cold,continuoussneezing,chills,fatigue,highfever,headache,swelledlymphnodes
Common Cold,continuoussneezing,chills,fatigue,cough,headache,swelledlymphnodes
Common Cold,continuoussneezing,chills,fatigue,cough,highfever,swelledlymphnodes
Common Cold,continuoussneezing,chills,fatigue,cough,highfever,headache
Common Cold,continuoussneezing,chills,fatigue,cough,highfever,headache
Pneumonia,chills,fatigue,cough,highfever,breathlessness,sweating
Pneumonia,chills,fatigue,cough,highfever,breathlessness,sweating
Pneumonia,chills,fatigue,cough,highfever,breathlessness,sweating
Pneumonia,fatigue,cough,highfever,breathlessness,sweating,malaise
Pneumonia,chills,cough,highfever,breathlessness,sweating,malaise
Pneumonia,chills,fatigue,highfever,breathlessness,sweating,malaise
Pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise
Pneumonia,chills,fatigue,cough,highfever,sweating,malaise
Pneumonia,chills,fatigue,cough,highfever,breathlessness,malaise
Pneumonia,chills,fatigue,cough,highfever,breathlessness,sweating
Dimorphic hemmorhoids(piles),constipation,painduringbowelmovements,paininanalregion,bloodystool,irritationinanus,
Dimorphic hemmorhoids(piles),constipation,painduringbowelmovements,paininanalregion,bloodystool,irritationinanus,
Dimorphic hemmorhoids(piles),constipation,painduringbowelmovements,paininanalregion,bloodystool,irritationinanus,
Dimorphic hemmorhoids(piles),painduringbowelmovements,paininanalregion,bloodystool,irritationinanus,,
Dimorphic hemmorhoids(piles),constipation,paininanalregion,bloodystool,irritationinanus,,
Dimorphic hemmorhoids(piles),constipation,painduringbowelmovements,bloodystool,irritationinanus,,
Dimorphic hemmorhoids(piles),constipation,painduringbowelmovements,paininanalregion,irritationinanus,,
Dimorphic hemmorhoids(piles),constipation,painduringbowelmovements,paininanalregion,bloodystool,,
Dimorphic hemmorhoids(piles),constipation,painduringbowelmovements,paininanalregion,bloodystool,irritationinanus,
Dimorphic hemmorhoids(piles),constipation,painduringbowelmovements,paininanalregion,bloodystool,irritationinanus,
Heart attack,vomiting,breathlessness,sweating,chestpain,,
Heart attack,vomiting,breathlessness,sweating,chestpain,,
Heart attack,breathlessness,sweating,chestpain,,,
Heart attack,vomiting,sweating,chestpain,,,
Heart attack,vomiting,breathlessness,chestpain,,,
Heart attack,vomiting,breathlessness,sweating,,,
Heart attack,vomiting,breathlessness,sweating,chestpain,,
Heart attack,breathlessness,sweating,chestpain,,,
Heart attack,vomiting,sweating,chestpain,,,
Heart attack,vomiting,breathlessness,chestpain,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollenlegs,swollenbloodvessels
Varicose veins,fatigue,cramps,bruising,obesity,swollenlegs,swollenbloodvessels
Varicose veins,cramps,bruising,obesity,swollenlegs,swollenbloodvessels,prominentveinsoncalf
Varicose veins,fatigue,bruising,obesity,swollenlegs,swollenbloodvessels,prominentveinsoncalf
Varicose veins,fatigue,cramps,obesity,swollenlegs,swollenbloodvessels,prominentveinsoncalf
Varicose veins,fatigue,cramps,bruising,swollenlegs,swollenbloodvessels,prominentveinsoncalf
Varicose veins,fatigue,cramps,bruising,obesity,swollenbloodvessels,prominentveinsoncalf
Varicose veins,fatigue,cramps,bruising,obesity,swollenlegs,prominentveinsoncalf
Varicose veins,fatigue,cramps,bruising,obesity,swollenlegs,swollenbloodvessels
Varicose veins,fatigue,cramps,bruising,obesity,swollenlegs,prominentveinsoncalf
Hypothyroidism,fatigue,weightgain,coldhandsandfeets,moodswings,lethargy,dizziness
Hypothyroidism,fatigue,weightgain,coldhandsandfeets,moodswings,lethargy,dizziness
Hypothyroidism,weightgain,coldhandsandfeets,moodswings,lethargy,dizziness,puffyfaceandeyes
Hypothyroidism,weightgain,coldhandsandfeets,moodswings,lethargy,dizziness,puffyfaceandeyes
Hypothyroidism,fatigue,coldhandsandfeets,moodswings,lethargy,dizziness,puffyfaceandeyes
Hypothyroidism,fatigue,weightgain,moodswings,lethargy,dizziness,puffyfaceandeyes
Hypothyroidism,fatigue,weightgain,coldhandsandfeets,lethargy,dizziness,puffyfaceandeyes
Hypothyroidism,fatigue,weightgain,coldhandsandfeets,moodswings,dizziness,puffyfaceandeyes
Hypothyroidism,fatigue,weightgain,coldhandsandfeets,moodswings,lethargy,puffyfaceandeyes
Hypothyroidism,fatigue,weightgain,coldhandsandfeets,moodswings,lethargy,dizziness
Hyperthyroidism,fatigue,moodswings,weightloss,restlessness,sweating,diarrhoea
Hyperthyroidism,fatigue,moodswings,weightloss,restlessness,sweating,diarrhoea
Hyperthyroidism,moodswings,weightloss,restlessness,sweating,diarrhoea,fastheartrate
Hyperthyroidism,fatigue,weightloss,restlessness,sweating,diarrhoea,fastheartrate
Hyperthyroidism,fatigue,moodswings,restlessness,sweating,diarrhoea,fastheartrate
Hyperthyroidism,fatigue,moodswings,weightloss,sweating,diarrhoea,fastheartrate
Hyperthyroidism,fatigue,moodswings,weightloss,restlessness,diarrhoea,fastheartrate
Hyperthyroidism,fatigue,moodswings,weightloss,restlessness,sweating,fastheartrate
Hyperthyroidism,fatigue,moodswings,weightloss,restlessness,sweating,diarrhoea
Hyperthyroidism,fatigue,moodswings,weightloss,restlessness,sweating,diarrhoea
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea
Hypoglycemia,fatigue,anxiety,sweating,headache,nausea,blurredanddistortedvision
Hypoglycemia,vomiting,anxiety,sweating,headache,nausea,blurredanddistortedvision
Hypoglycemia,vomiting,fatigue,sweating,headache,nausea,blurredanddistortedvision
Hypoglycemia,vomiting,fatigue,anxiety,headache,nausea,blurredanddistortedvision
Hypoglycemia,vomiting,fatigue,anxiety,sweating,nausea,blurredanddistortedvision
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,blurredanddistortedvision
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain,swellingjoints,painfulwalking
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain,swellingjoints,painfulwalking
Osteoarthristis,neckpain,kneepain,hipjointpain,swellingjoints,painfulwalking,
Osteoarthristis,jointpain,kneepain,hipjointpain,swellingjoints,painfulwalking,
Osteoarthristis,jointpain,neckpain,hipjointpain,swellingjoints,painfulwalking,
Osteoarthristis,jointpain,neckpain,kneepain,swellingjoints,painfulwalking,
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain,painfulwalking,
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain,swellingjoints,
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain,swellingjoints,painfulwalking
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain,swellingjoints,painfulwalking
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness,painfulwalking,
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness,painfulwalking,
Arthritis,stiffneck,swellingjoints,movementstiffness,painfulwalking,,
Arthritis,muscleweakness,swellingjoints,movementstiffness,painfulwalking,,
Arthritis,muscleweakness,stiffneck,movementstiffness,painfulwalking,,
Arthritis,muscleweakness,stiffneck,swellingjoints,painfulwalking,,
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness,painfulwalking,
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness,,
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness,painfulwalking,
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness,painfulwalking,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements,lossofbalance,unsteadiness
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements,lossofbalance,unsteadiness
(vertigo) Paroymsal  Positional Vertigo,headache,nausea,spinningmovements,lossofbalance,unsteadiness,
(vertigo) Paroymsal  Positional Vertigo,vomiting,nausea,spinningmovements,lossofbalance,unsteadiness,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,spinningmovements,lossofbalance,unsteadiness,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,lossofbalance,unsteadiness,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements,unsteadiness,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements,lossofbalance,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements,lossofbalance,unsteadiness
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,lossofbalance,unsteadiness,
Acne,skinrash,pusfilledpimples,blackheads,scurring,,
Acne,skinrash,pusfilledpimples,blackheads,scurring,,
Acne,pusfilledpimples,blackheads,scurring,,,
Acne,skinrash,blackheads,scurring,,,
Acne,skinrash,pusfilledpimples,scurring,,,
Acne,skinrash,pusfilledpimples,blackheads,,,
Acne,skinrash,pusfilledpimples,blackheads,scurring,,
Acne,skinrash,pusfilledpimples,blackheads,,,
Acne,skinrash,pusfilledpimples,scurring,,,
Acne,skinrash,blackheads,scurring,,,
Urinary tract infection,burningmicturition,bladderdiscomfort,foulsmellof urine,continuousfeelofurine,,
Urinary tract infection,burningmicturition,bladderdiscomfort,foulsmellof urine,continuousfeelofurine,,
Urinary tract infection,bladderdiscomfort,foulsmellof urine,continuousfeelofurine,,,
Urinary tract infection,burningmicturition,foulsmellof urine,continuousfeelofurine,,,
Urinary tract infection,burningmicturition,bladderdiscomfort,continuousfeelofurine,,,
Urinary tract infection,burningmicturition,bladderdiscomfort,foulsmellof urine,,,
Urinary tract infection,burningmicturition,bladderdiscomfort,foulsmellof urine,continuousfeelofurine,,
Urinary tract infection,burningmicturition,bladderdiscomfort,continuousfeelofurine,,,
Urinary tract infection,bladderdiscomfort,foulsmellof urine,continuousfeelofurine,,,
Urinary tract infection,burningmicturition,bladderdiscomfort,continuousfeelofurine,,,
Psoriasis,skinrash,jointpain,skinpeeling,silverlikedusting,smalldentsinnails,inflammatorynails
Psoriasis,skinrash,jointpain,skinpeeling,silverlikedusting,smalldentsinnails,inflammatorynails
Psoriasis,jointpain,skinpeeling,silverlikedusting,smalldentsinnails,inflammatorynails,
Psoriasis,skinrash,skinpeeling,silverlikedusting,smalldentsinnails,inflammatorynails,
Psoriasis,skinrash,jointpain,silverlikedusting,smalldentsinnails,inflammatorynails,
Psoriasis,skinrash,jointpain,skinpeeling,smalldentsinnails,inflammatorynails,
Psoriasis,skinrash,jointpain,skinpeeling,silverlikedusting,inflammatorynails,
Psoriasis,skinrash,jointpain,skinpeeling,silverlikedusting,smalldentsinnails,
Psoriasis,skinrash,jointpain,skinpeeling,silverlikedusting,smalldentsinnails,inflammatorynails
Psoriasis,skinrash,jointpain,skinpeeling,silverlikedusting,smalldentsinnails,inflammatorynails
Impetigo,skinrash,highfever,blister,redsorearoundnose,yellowcrustooze,
Impetigo,skinrash,highfever,blister,redsorearoundnose,yellowcrustooze,
Impetigo,highfever,blister,redsorearoundnose,yellowcrustooze,,
Impetigo,skinrash,blister,redsorearoundnose,yellowcrustooze,,
Impetigo,skinrash,blister,redsorearoundnose,yellowcrustooze,,
Impetigo,skinrash,highfever,redsorearoundnose,yellowcrustooze,,
Impetigo,skinrash,highfever,blister,yellowcrustooze,,
Impetigo,skinrash,highfever,blister,redsorearoundnose,,
Impetigo,skinrash,highfever,blister,redsorearoundnose,yellowcrustooze,
Impetigo,skinrash,blister,redsorearoundnose,yellowcrustooze,,
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches,,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,,,
Fungal infection,itching,nodalskineruptions,dischromic patches,,,
Fungal infection,itching,skinrash,dischromic patches,,,
Fungal infection,itching,skinrash,nodalskineruptions,,,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,,,
Fungal infection,itching,nodalskineruptions,dischromic patches,,,
Fungal infection,itching,skinrash,dischromic patches,,,
Fungal infection,itching,skinrash,nodalskineruptions,,,
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches,,
Allergy,continuoussneezing,shivering,chills,wateringfromeyes,,
Allergy,shivering,chills,wateringfromeyes,,,
Allergy,continuoussneezing,chills,wateringfromeyes,,,
Allergy,continuoussneezing,shivering,wateringfromeyes,,,
Allergy,continuoussneezing,shivering,chills,,,
Allergy,shivering,chills,wateringfromeyes,,,
Allergy,continuoussneezing,chills,wateringfromeyes,,,
Allergy,continuoussneezing,shivering,wateringfromeyes,,,
Allergy,continuoussneezing,shivering,chills,,,
Allergy,continuoussneezing,shivering,chills,wateringfromeyes,,
GERD,stomachpain,acidity,ulcersontongue,vomiting,cough,chestpain
GERD,stomachpain,ulcersontongue,vomiting,cough,chestpain,
GERD,stomachpain,acidity,vomiting,cough,chestpain,
GERD,stomachpain,acidity,ulcersontongue,cough,chestpain,
GERD,stomachpain,acidity,ulcersontongue,vomiting,chestpain,
GERD,stomachpain,acidity,ulcersontongue,vomiting,cough,
GERD,acidity,ulcersontongue,vomiting,cough,chestpain,
GERD,stomachpain,ulcersontongue,vomiting,cough,chestpain,
GERD,stomachpain,acidity,vomiting,cough,chestpain,
GERD,stomachpain,acidity,ulcersontongue,cough,chestpain,
Chronic cholestasis,itching,vomiting,yellowishskin,nausea,lossofappetite,abdominalpain
Chronic cholestasis,vomiting,yellowishskin,nausea,lossofappetite,abdominalpain,yellowingofeyes
Chronic cholestasis,itching,yellowishskin,nausea,lossofappetite,abdominalpain,yellowingofeyes
Chronic cholestasis,itching,vomiting,nausea,lossofappetite,abdominalpain,yellowingofeyes
Chronic cholestasis,itching,vomiting,yellowishskin,lossofappetite,abdominalpain,yellowingofeyes
Chronic cholestasis,itching,vomiting,yellowishskin,nausea,abdominalpain,yellowingofeyes
Chronic cholestasis,itching,vomiting,yellowishskin,nausea,lossofappetite,yellowingofeyes
Chronic cholestasis,itching,vomiting,yellowishskin,nausea,lossofappetite,abdominalpain
