Facility Name,Address,City,County,Zip,Phone,License #,Facility Type,Exp. Date
The Carle Foundation Hospital,611 West Park Street,Urbana,Champaign,61801,(888) 712-2753,0003798,General Hospital,2023-12-31
The Pavilion Foundation,809 W Church Street,Champaign,Champaign,61820,(217) 373-1700,0004689,Psychiatric Hospital,2023-12-31
"The Quad Cities Rehabilitation Institute, LLC",653 52nd Avenue,Moline,0,61265,(309) 581-3600,0006312,Rehabilitation Hospital,2023-08-17
"The Rehabilitation Institute of Southern Illinois, LLC",2351 Frank Scott Parkway East,Shiloh,St Clair,62269,(618) 206-7620,0006270,Rehabilitation Hospital,2023-02-06
The University of Chicago Medical Center,5841 S Maryland Ave MC 1000,Chicago,Cook,60637,(773) 702-1000,0003897,General Hospital,2023-06-30
Thomas H. Boyd Memorial Hospital,800 School Street,Carrollton,Greene,62016,(217) 942-6946,0002782,Critical Access Hospital,2023-06-30
Thorek Memorial Hospital,850 West Irving Park Rd,Chicago,Cook,60613,(773) 525-6780,0005371,General Hospital,2023-06-05
Thorek Memorial Hospital - DBA Thorek Memorial Hospital-Andersonville,5025 N Paulina Street,Chicago,Cook,60640,(773) 271-9040,0006155,General Hospital,2023-09-30
"Touchette Regional Hospital, Inc. - DBA Touchette Regional Hospital",5900 Bond Avenue,Centreville,St Clair,62207,(618) 332-3060,0004523,General Hospital,2023-06-30
Trinity Medical Center - 7th St Campus - DBA Trinity Moline,"500 John Deere Rd, 7th St Campus",Moline,Rock Island,61265,(309) 779-5000,0005140,General Hospital,2023-11-28
Trinity Medical Center (West) - DBA Trinity Rock Island,2701 17th Street,Rock Island,Rock Island,61201,(309) 779-5000,0003244,General Hospital,2023-06-30
UHS Hartgrove Hospital,5730 W Roosevelt Rd,Chicago,Cook,60644,(773) 413-1700,0005454,Psychiatric Hospital,2023-07-16
University of Illinois Hospital and Clinics,"1740 W Taylor St., Ste 1400, MC 693",Chicago,Cook,60612,(312) 996-3900,0005280,General Hospital,
V Covington LLC - DBA Lake Behavioral Hospital,2615 West Washington Street,Waukegan,Lake,60085,(847) 360-2017,0006098,Psychiatric Hospital,2023-02-28
Valley West Community Hospital - DBA Northwestern Medicine Valley West Hospital,1302 North Main Street,Sandwich,De Kalb,60548,(815) 786-8484,0004690,Critical Access Hospital,2023-09-11
Van Matre Encompass Health Rehabilitation Hospital LLC - DBA Van Matre Encompass Health Rehabilitation Institut,950 S Mulford Road,Rockford,Winnebago,61108,(815) 381-8500,0005215,Rehabilitation Hospital,2023-10-26
Wabash General Hospital District,1418 College Drive,Mount Carmel,Wabash,62863,(618) 262-8621,0002865,Critical Access Hospital,2023-12-31
Warner Hospital and Health Services,422 W White St,Clinton,De Witt,61727,(217) 935-9571,0001164,Critical Access Hospital,2023-06-30
Washington County Hospital,705 South Grand Avenue,Nashville,Washington,62263,(618) 327-8236,0002899,Critical Access Hospital,2023-06-30
"Waukegan Illinois Hospital Company, LLC - DBA Vista Medical Center East",1324 N Sheridan Rd,Waukegan,Lake,60085,(847) 360-4000,0005397,General Hospital,2023-06-30
